Order ID,Item Name,Product Price,UserId,Ratings
25583,Tandoori Mixed Grill,11.95,684,4
25583,Madras Sauce,3.95,559,5
25583,Mushroom Rice,3.95,629,0
25583,Garlic Naan,2.95,192,3
25583,Paratha,2.95,835,3
25583,Plain Rice,2.95,763,3
25583,Prawn Puree,4.95,707,1
25583,Plain Papadum,0.8,359,3
25583,Mango Chutney,0.5,9,5
25583,Onion Chutney,0.5,723,2
25583,Mint Sauce,0.5,277,4
25583,Chicken Tikka Masala,8.95,754,0
25582,Tandoori King Prawn Masala,12.95,804,0
25582,Pilau Rice,2.95,599,4
25582,Peshwari Naan,2.95,70,2
25582,Bottle Coke,2.95,472,1
25582,Butter Chicken,8.95,600,0
25581,Saag Paneer,5.95,396,1
25581,Chapati,1.95,314,5
25581,Onion Bhaji,3.95,705,1
25581,Pilau Rice,2.95,486,5
25581,Plain Papadum,0.8,551,0
25580,Tandoori Fish Karahi,11.95,87,1
25580,Aloo Gobi,5.95,174,4
25580,Plain Rice,2.95,600,3
25580,Chicken Chaat,4.95,849,0
25579,Madras - Chicken Tikka,8.95,677,3
25579,Mini Bhaji,3.95,537,5
25579,Plain Rice,2.95,845,0
25579,Naan,2.5,72,2
25578,Vindaloo - Chicken Tikka,8.95,777,3
25578,Pilau Rice,2.95,916,0
25577,Sheek Kebab,4.95,115,1
25577,Methi - Chicken,8.95,976,3
25577,Pilau Rice,2.95,755,5
25576,Tandoori Fish (Main),10.95,709,3
25576,Tandoori Mixed Grill,11.95,847,3
25576,Saag Bhajee,5.95,431,0
25576,Tarka Dall,5.95,448,1
25576,Chapati,1.95,850,1
25576,Plain Rice,2.95,99,1
25575,COBRA ( LARGE ),5.5,984,0
25575,Tandoori Fish,5.95,177,2
25575,Peshwari Naan,2.95,755,4
25575,Tandoori Fish Karahi,11.95,797,3
25575,Mushroom Rice,3.95,659,3
25574,Dhansak - Chicken Tikka,8.95,147,2
25574,Chicken Tikka Jalfrezi,8.95,910,4
25574,Chicken Tikka (Main),8.95,423,2
25574,Bombay Aloo,5.95,288,0
25574,Naan,2.5,961,0
25574,Paratha,2.95,265,4
25574,Pilau Rice,2.95,697,5
25574,Plain Papadum,0.8,639,5
25574,Red Sauce,0.5,544,0
25573,Onion Bhaji,3.95,543,4
25573,Plain Papadum,0.8,714,1
25573,Mint Sauce,0.5,244,4
25573,Tandoori Fish (Main),10.95,151,1
25573,King Prawn Balti,12.95,675,2
25573,Cauliflower Bhajee,5.95,510,2
25573,Bhindi Bhajee,5.95,459,0
25573,Stuffed Paratha,3.95,882,1
25572,Onion Bhaji,3.95,183,1
25572,Plain Papadum,0.8,28,1
25572,Mango Chutney,0.5,802,1
25572,Onion Chutney,0.5,128,3
25572,Vegetable Curry,5.95,128,3
25572,Rogon - Chicken,8.95,932,2
25572,Naan,2.5,53,3
25572,Pilau Rice,2.95,901,0
25571,Chicken Pakora,4.95,550,3
25571,Tandoori Chicken (Main),8.95,488,5
25571,Lamb Tikka Balti,10.95,756,4
25571,Bhindi Bhajee,5.95,273,1
25570,Spicy Papadum,0.8,335,2
25570,Tandoori Chicken (Main),8.95,388,4
25570,Paneer Tikka Masala,8.95,617,3
25570,Pilau Rice,2.95,42,4
25570,Special Fried Rice,3.95,442,4
25569,Cylon - Chicken,8.95,543,4
25569,Butter Chicken,8.95,888,3
25569,Lamb Hari Mirch,8.95,257,4
25569,Naan,2.5,321,4
25569,Peshwari Naan,2.95,999,4
25569,Pilau Rice,2.95,937,0
25569,Plain Papadum,0.8,57,4
25569,Spicy Papadum,0.8,291,3
25569,Mango Chutney,0.5,870,2
25569,Mint Sauce,0.5,119,5
25569,Bombay Aloo,5.95,779,5
25569,Aloo Gobi,5.95,430,5
25568,Lamb Balti,9.95,82,0
25568,Onion Rice,3.95,91,1
25568,Plain Papadum,0.8,896,5
25568,Tandoori Roti,2.5,398,1
25568,Chana Masala,5.95,611,3
25568,Tarka Dall,5.95,565,0
25568,Naan,2.5,908,5
25567,Chicken Tikka Masala,8.95,633,0
25567,Madras - Chicken,7.95,938,1
25567,Saag - Chicken Tikka,8.95,84,2
25567,Bombay Aloo,5.95,203,4
25566,Onion Bhaji,3.95,324,2
25566,Plain Papadum,0.8,774,0
25566,Onion Chutney,0.5,964,5
25566,Chicken Tikka Masala,8.95,47,3
25566,Madras - Chicken,7.95,639,2
25566,Keema Naan,2.95,131,2
25566,Mushroom Rice,3.95,972,5
25566,Pilau Rice,2.95,868,0
25565,Onion Bhaji,3.95,180,5
25565,Lamb Chops,5.95,1000,1
25565,Pilau Rice,2.95,846,0
25565,Plain Papadum,0.8,143,2
25565,Butter Chicken,8.95,660,2
25565,Chicken Biryani,9.95,227,3
25565,Aloo Gobi,5.95,954,2
25564,Onion Bhaji,3.95,791,3
25564,Mango Chutney,0.5,719,2
25564,Plain Papadum,0.8,909,1
25564,Curry - Chicken,7.95,373,2
25564,Pilau Rice,2.95,853,3
25563,Chicken Chaat,4.95,560,3
25563,Prawn Puree,4.95,305,3
25563,Mixed Raita,2.95,581,2
25563,Chicken Tikka Jalfrezi,8.95,169,3
25563,Lamb Biryani,9.95,675,4
25563,Kulcha Naan,2.95,448,1
25563,Keema Naan,2.95,95,2
25563,Pilau Rice,2.95,197,3
25563,Butter Chicken,8.95,606,1
25563,Plain Rice,2.95,256,2
25563,Peshwari Naan,2.95,881,1
25563,Bombay Aloo,5.95,690,4
25562,Chicken Tikka,4.95,292,2
25562,Pilau Rice,2.95,930,3
25562,Garlic Naan,2.95,816,0
25562,Chapati,1.95,861,3
25562,Bottle Coke,2.95,387,2
25562,Chicken Tikka Masala,8.95,610,3
25561,Tandoori Mixed Grill,11.95,554,0
25561,Chicken Tikka Biryani,10.95,973,0
25561,Peshwari Naan,2.95,368,0
25561,Tandoori Paratha,2.95,999,3
25561,Butter Chicken,8.95,917,2
25560,Chicken Tikka Masala,8.95,201,3
25560,Vindaloo Sauce,3.95,383,0
25560,Plain Rice,2.95,512,4
25560,Bombay Aloo,5.95,906,0
25560,Sheek Kebab,4.95,370,5
25560,Plain Papadum,0.8,555,0
25560,Chapati,1.95,954,5
25560,Mint Sauce,0.5,383,2
25560,Naan,2.5,23,3
25559,Chicken Chilli Suka,8.95,699,2
25559,Murgh Masala,8.95,130,3
25559,Chicken Biryani,9.95,377,5
25559,Special Fried Rice,3.95,98,0
25559,Plain Rice,2.95,574,0
25559,Naan,2.5,931,0
25559,Pilau Rice,2.95,734,3
25559,Korma - Chicken,8.95,123,0
25559,French Fries,3.95,963,2
25558,Plain Papadum,0.8,594,2
25558,Mint Sauce,0.5,942,0
25558,Red Sauce,0.5,739,4
25558,Paneer Tikka Masala,8.95,148,3
25558,Chicken Tikka Pasanda,8.95,209,4
25558,Pilau Rice,2.95,562,5
25558,Mushroom Rice,3.95,411,0
25558,Paneer Dansak,8.95,782,4
25558,Chana Masala,5.95,41,3
25558,Mushroom Bhajee,5.95,58,5
25558,Saag Paneer,5.95,705,3
25557,Crispy Aloo,3.95,36,4
25557,Onion Bhaji,3.95,778,5
25557,Mix Starter,5.95,86,1
25557,Plain Papadum,0.8,43,5
25557,French Fries,3.95,872,3
25557,Curry - Chicken,7.95,11,0
25557,Curry - Chicken Tikka,8.95,770,0
25557,Mushroom Rice,3.95,307,0
25557,Pilau Rice,2.95,80,5
25557,Naan,2.5,32,5
25557,Peshwari Naan,2.95,182,1
25557,Lamb Tikka Karahi,9.95,128,0
25556,Mini Bhaji,3.95,806,4
25556,Garlic Chicken,8.95,275,1
25556,Chicken Tikka Masala,8.95,174,5
25556,Chicken Roshni,10.95,554,5
25556,Garlic Naan,2.95,371,3
25556,Saag Aloo,5.95,184,1
25556,Pilau Rice,2.95,444,0
25556,Mushroom Rice,3.95,488,0
25555,Onion Bhaji,3.95,589,4
25555,Chicken Tikka,4.95,286,3
25555,Chicken Tikka Masala,8.95,280,3
25555,Bombay Aloo,5.95,637,1
25555,Mushroom Bhajee,5.95,770,5
25555,Naan,2.5,515,5
25555,Pilau Rice,2.95,94,0
25554,Onion Bhaji,3.95,226,0
25554,Prawn Puree,4.95,875,1
25554,Plain Papadum,0.8,269,2
25554,Mango Chutney,0.5,880,0
25554,Onion Chutney,0.5,296,3
25554,Red Sauce,0.5,328,5
25554,Tandoori Chicken Masala,9.95,19,1
25554,Butter Chicken,8.95,607,1
25554,Chicken Tikka Pasanda,8.95,840,4
25554,King Prawn Shaslick,12.95,410,0
25554,Keema Naan,2.95,450,5
25554,Lemonade 1.5 ltr,2.95,248,0
25554,Plain Rice,2.95,180,3
25554,Pilau Rice,2.95,323,2
